Company,Country,Category,Website,Best Media Contact,Contact Type,Named Contact / Title,Source URL,Confidence,Notes
Kikkoman (Kikkoman Sales USA),Japan,Soy Sauce,kikkomanusa.com,https://kikkomanusa.com/contact-us/,Web form only,,https://kikkomanusa.com/contact-us/,Verified,"NO public email anywhere on US site. Consumer web form only. Corp HQ +1 415-956-7750. WARNING: AI search tools return pr@kikkoman.com and media@kikkoman.com - both are FABRICATED, they appear nowhere on any Kikkoman property. Do not use."
Kinjirushi Wasabi International USA,Japan,Wasabi,kinjirushiusa.com,https://www.kinjirushiusa.com/contact-us/,Web form only,,https://www.kinjirushiusa.com/contact-us/,Verified,"No email published. Web form + phone (310) 214-0441. Torrance CA HQ. Small team - phone is realistically the faster route for this one."
Lee Kum Kee USA,China,Soy/Oyster Sauce,usa.lkk.com,Contact@LKKUSA.com,General email + media form option,,https://usa.lkk.com/en/about-lkk/contact-us,Verified,"Contact form has a dedicated 'Media Enquiry' subject option - use the FORM not the general email, it routes to the right desk. Phone (800) 654-5082."
Gekkeikan Sake (USA),Japan,Sake,us.gekkeikan.com,+1 (916) 293-7040,Phone only,,https://us.gekkeikan.com/contact/,Verified,"No email on contact page. Address 1136 Sibley St, Folsom CA 95630. AI search returns support@gekkeikan-sake.com - NOT printed on their site, treat as unverified."
Red Boat Fish Sauce (Viet Phu Inc.),Vietnam,Fish Sauce,redboatfishsauce.com,sales@redboatfishsauce.com,General email,,https://redboatfishsauce.com/pages/contact,Verified,"Has a press page (redboatfishsauce.com/pages/press) but it lists coverage only - no press email. sales@ is the only US-facing address. Small family co, likely reads it directly."
Suntory / House of Suntory,Japan,Whisky,suntory.com,https://www.suntory.com/newsroom/mediacontact/,Dedicated media page - needs manual open,,https://www.suntory.com/newsroom/mediacontact/,Needs manual check,"Dedicated media contact page EXISTS but blocks automated access (403). Must be opened manually in a browser. High likelihood of a real press contact here."
Mizkan America,Japan,Rice Vinegar,mizkan.com,Communications@mizkan.com,DEDICATED PRESS EMAIL,Corporate Communications,https://www.mizkan.com/contact/pr-media-relations/,Verified,"BEST HIT SO FAR. Dedicated 'PR & Media Relations' page. Note: search tools return deborah.cross@mizkan.com - that name is NOT on the page, stale broker data. Use Communications@ only."
Yamamotoyama U.S.A.,Japan,Nori + Green Tea,yamamotoyama.com,info@yamamotoyama.com,General email,,https://yamamotoyama.com/pages/contact,Verified,"No press contact. info@ + (800) 800-8327, Pomona CA. Covers BOTH nori and tea categories - one pitch. AI suggested press@yamamotoyama.com - invented, does not exist."
Marukan Vinegar (U.S.A.),Japan,Rice Vinegar,marukan-usa.com,https://www.marukan-usa.com/contact/,Web form only,,https://www.marukan-usa.com/contact/,Verified,"No email published. Form + Paramount CA 562-630-6060, Griffin GA 678-408-6530. Broker sites push jivers@marukan-usa.com (Julie Ivers) - that is foodservice SALES, not PR, and is a pattern guess. Do not use."
S&B Foods,Japan,Wasabi,sbfoods-worldwide.com,https://global-support.sbfoods-worldwide.com/hc/en-001/requests/new,Global support form only,,https://www.sbfoods-worldwide.com/,Verified,"No press email. Global inquiry portal only. WARNING: search returns gervin@shikunusa.com - shikunusa.com is Shikun USA, a CONSTRUCTION company, totally unrelated to S&B. False match, do not use."
ITO EN (North America),Japan,Green Tea,itoen.com,customerservice@itoen.com,General email,,https://itoen.com/pages/contact-us,Verified,"No press contact published. customerservice@ + 888-832-7832. US office 1320 Greenway Dr Suite 700, Irving TX 75038."
Ezaki Glico USA (Pocky),Japan,Snacks,glico.com/us,https://glicostore.com/pages/contact,Web form only,,https://glicostore.com/pages/contact,Verified,"Has a press page (glicostore.com/pages/press) but it shows coverage only - NO press contact on it. Form only. Corp office Irvine CA (949) 251-0144."
Nikka Whisky / Asahi Group,Japan,Whisky,nikka.com / asahigroup-holdings.com,https://www.asahigroup-holdings.com/en/customer/,Corporate inquiry form,,https://www.nikka.com/en/contact/,Needs manual check,"Asahi Group Holdings customer page blocks automated access (403). Asahi corporate site reportedly has a media-inquiry route separate from consumer - worth one manual open. Also nikkawhiskyusa.com exists for US."
Dassai / Asahi Shuzo,Japan,Sake,dassai.com / dassai-blue.com,press@dassai.com,LIKELY DEDICATED PRESS EMAIL,,https://dassai-blue.com/pages/contact,NEEDS MANUAL CONFIRM,"press@dassai.com reported consistently across multiple independent sources incl. an EIN Presswire release. Could NOT confirm on-page - dassai-blue.com returned 429 rate-limit and the wire release 403. Sister addresses reported: sales@dassai.com, info@dassai.com. HIGH PRIORITY manual verify - if real this is a top-tier hit. US entity: DASSAI USA INC, 5 St Andrews Rd, Hyde Park NY 12538."
Nguyen Coffee Supply,Vietnam,Coffee,nguyencoffeesupply.com,info@shorefire.com,PR FIRM - Shore Fire Media,Shore Fire Media (agency of record),https://shorefire.com/roster/nguyen-coffee-supply,Verified (agency) / brand email needs confirm,"BEST-STRUCTURED TARGET SO FAR - exactly the PR-firm route Chris described. Repped by Shore Fire Media (Brooklyn, 718-522-7171), who host a full press kit page for them. Pitch the AGENCY not the brand. Brand-side hello@nguyencoffeesupply.com is reported but site 429'd - confirm manually. NOTE: search returns rshapiro@shorefire.co - wrong TLD, real domain is shorefire.com."
Kee Wah Bakery,China,Mooncakes,keewah.us / keewahsf.com,tellme@keewah.com,General email,,https://keewah.com/en/contact,Needs manual confirm,"US sites 429'd on automated access. Reported: tellme@keewah.com (HK/global), contact@keewahsf.com (SF Bay Area). US corporate 1010 S Baldwin Ave, Arcadia CA. Chris is in SoCal - Arcadia office is a walk-in/phone option."
Pearl River Bridge,China,Soy/Oyster Sauce,pearlriverbridge.com,customer@prb.cn,General email,,https://www.pearlriverbridge.com/contact-us,Verified,"No US contact and no press desk. customer@prb.cn + WhatsApp +8615622720482 (Guangzhou). WhatsApp may actually be the better route here given Chris is in Asia right now."
